Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0,0,0,-8.5132,0,8.5132,0,0,0,0,0,0,46.66,6.43,9.8065,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.040956,3585099,45,0,0.41683,0,0.23773,0.058887,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,3.392e-4
0.01,0,0,21.664,0,21.664,0,0,0,0,0,0,46.66,6.43,9.8065,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.040956,3585099,1095,0,0.41683,0,0.23773,0.058887,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,4.087e-4
0.02,0.0010833,0.21666,51.523,0.21666,51.523,0,0,0,0,0,0,46.66,6.43,9.8065,89.113,0,0,0,34792,7075.8,33.105,0.41447,NaN,261.05,NaN,0.040961,3585528,2133.8,1.7578e-5,0.41683,3.848e-6,0.23773,0.058887,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1687e-5,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,4.696e-4
0.03,0.0058265,0.73202,53.48,0.73202,53.48,0,0,0,0,0,0,46.66,6.43,9.8065,87.007,0,0,0,34782,7066.4,33.097,0.41443,NaN,261.02,NaN,0.041012,3.59e6,2201.2,6.6315e-4,0.41683,1.4481e-4,0.23773,0.058887,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3272e-5,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,5.595e-4
0.04,0.015822,1.267,55.444,1.267,55.444,0,0,0,0,0,0,46.66,6.43,9.8065,84.829,0,0,0,34770,7053.9,33.088,0.41438,NaN,260.99,NaN,0.041123,3599750,2268.8,0.0033592,0.41683,7.2957e-4,0.23773,0.058887,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2682e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,6.338e-4
0.05,0.031265,1.8216,57.409,1.8216,57.409,0,0,0,0,0,0,46.66,6.43,9.8065,82.586,0,0,0,34757,7041.4,33.078,0.41433,NaN,260.96,NaN,0.041301,3615318,2336.2,0.0097404,0.41684,0.0020973,0.23773,0.058887,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8234e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,7.543e-4
0.06,0.052352,2.3959,58.512,2.3959,58.512,0,0,0,0,0,0,46.66,6.43,9.8065,80.289,0,0,0,34745,7028.9,33.068,0.41428,NaN,260.93,NaN,0.041551,3637217,2373.8,0.021595,0.41684,0.0045941,0.23773,0.058888,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3982e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,8.447e-4
0.07,0.079238,2.9813,58.753,2.9813,58.753,0,0,0,0,0,0,46.66,6.43,9.8065,77.979,0,0,0,34732,7015.9,33.057,0.41423,NaN,260.9,NaN,0.041874,3665479,2381.2,0.040504,0.41684,0.0084844,0.23773,0.058888,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9841e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,9.201e-4
0.08,0.11199,3.569,58.995,3.569,58.995,0,0,0,0,0,0,46.66,6.43,9.8065,75.698,0,0,0,34719,7002.6,33.047,0.41417,NaN,260.86,NaN,0.042266,3699754,2388.8,0.067628,0.41685,0.013905,0.23772,0.058889,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5724e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,9.935e-4
0.09,0.15063,4.1592,59.236,4.1592,59.236,0,0,0,0,0,0,46.66,6.43,9.8065,73.454,0,0,0,34705,6989.2,33.036,0.41412,NaN,260.83,NaN,0.042725,3.74e6,2396.2,0.10412,0.41685,0.020949,0.23772,0.05889,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1631e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,0.0010689
