Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg)
0.0,-0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.733420407476975,-0.0003866160945034,1.3700134054197264,-3.029522023784067,1.3895648593569443,0.0473192964060052,0.038978571611138,-0.0553143066378469,0.0488671956793018,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.02,0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.724055636046222,0.0055869687238666,1.3632966674175897,-2.986092075812449,1.4132860215503975,0.0241749575864303,-0.0267314035688705,0.051703321438604,0.0509839617299391,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.04,0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.72895998495768,0.0043363226585612,1.3644159018769315,-3.072285784053178,1.4017129389630696,0.0047996989316245,-0.0462106960001693,0.0169254399761476,-0.004554585181551,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.06,0.0006113729580661,-6.817293570821956e-17,-1.3673416823280118,12.815010799336983,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.722992870712142,0.0033803465934473,1.3651151270638628,-2.960110383328758,1.4252515246078543,0.0523873150521253,-0.0471425945551669,0.0555703112444333,-0.0427958072689074,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.08,0.0044320573940776,-6.817293562638452e-17,-1.36734168068665,22.84518870120791,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.727385361841714,0.0026448702425204,1.3651524401152806,-2.9488110534129346,1.3757499695926003,0.021720054264252,0.0137076271283359,-0.0585410541048647,-0.0442324830060966,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.1,0.0156640220199531,-6.817293538580763e-17,-1.3673416758614096,34.03532204232874,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.735490867721031,-0.0028916233878175,1.3710923242381756,-2.9680534051323875,1.4295948816023394,-0.0329935068477532,-0.0555894673483214,-0.0190047013267342,-0.0260370910592308,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.12,0.0404019118688159,-6.817293485594803e-17,-1.367341665234038,53.62214912589184,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-12.817567932327998,0.0003093238094866,1.3703413005940972,-3.000115705797693,1.4733289024706075,-0.0273698651225566,-0.0166448398587121,0.0561292351920954,-0.0503746294536277,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831
0.14,0.0858070632364892,-6.817293388341743e-17,-1.367341645728033,70.20518344063902,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-12.819457426459085,0.0038516091128772,1.370122888274224,-2.9662312236667066,1.4073754566408725,0.0622821734080687,-0.0463986340185816,-0.0414710092578344,0.0322536393050707,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831
0.16,0.1584501716125731,-6.81729323274784e-17,-1.3673416145206296,86.81054748308546,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-22.866688353947737,0.0034798268901641,1.3723224538917922,-3.068878955510313,1.4127869572173073,0.0168361992626428,0.0396507555668179,-0.031515483830555,0.0468606585648967,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.0044371542224421
0.18,0.2647773950016087,-6.817293005006105e-17,-1.3673415688425663,102.76400691342408,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-22.865012512327574,0.0017827290377361,1.3631616766981187,-3.0284233700217644,1.413081056386981,0.0099618462171235,-0.0483782450344346,0.0150689297016155,-0.0059583173944533,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.0044371542224421
