Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0,0,0,-8.5136,0,8.5136,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0,0,45,0,1.183,1.183,1.0042,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,3.4122,1004,333.37,0.01,3.639e-4
0.01,0,0,21.663,0,21.663,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0,0,1095,0,1.183,1.183,1.0042,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,3.4122,1004,333.37,0.01,4.379e-4
0.02,0.0010833,0.21666,51.522,0.21666,51.522,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34792,7075.8,33.105,0.41447,NaN,261.05,NaN,6.499e-4,59513,2133.8,8.4725e-4,0.75089,0.75089,0.57204,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1838e-5,22,380.13,90,0,NaN,3.4122,1004,333.37,0.01,5.205e-4
0.03,0.0058265,0.73201,53.479,0.73201,53.479,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34782,7066.4,33.097,0.41443,NaN,261.02,NaN,0.0021958,201076,2201.2,0.0077076,0.59839,0.59839,0.41954,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3785e-5,22,380.13,90,0,NaN,3.4122,1004,333.37,0.01,5.841e-4
0.04,0.015821,1.267,55.443,1.267,55.443,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34770,7053.9,33.088,0.41438,NaN,260.99,NaN,0.0038006,348029,2268.8,0.021182,0.54895,0.54895,0.3701,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2771e-4,22,380.13,90,0,NaN,3.4122,1004,333.37,0.01,6.458e-4
0.05,0.031264,1.8216,57.408,1.8216,57.408,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34757,7041.4,33.078,0.41433,NaN,260.96,NaN,0.0054643,500376,2336.2,0.041548,0.52088,0.52088,0.34203,0.058851,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8361e-4,22,380.13,90,0,NaN,3.4121,1004,333.37,0.01,7.297e-4
0.06,0.052351,2.3959,58.511,2.3959,58.511,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34745,7028.9,33.068,0.41428,NaN,260.93,NaN,0.007187,658122,2373.8,0.069235,0.50176,0.50176,0.32291,0.058851,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.415e-4,22,380.13,90,0,NaN,3.412,1004,333.37,0.01,8.208e-4
0.07,0.079237,2.9812,58.751,2.9812,58.751,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34732,7015.9,33.057,0.41423,NaN,260.9,NaN,0.0089427,818900,2381.2,0.10418,0.48764,0.48764,0.30878,0.058852,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.005e-4,22,380.13,90,0,NaN,3.4119,1004,333.37,0.01,8.965e-4
0.08,0.11199,3.5689,58.992,3.5689,58.992,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34719,7002.6,33.047,0.41417,NaN,260.86,NaN,0.010706,980338,2388.8,0.14595,0.4767,0.4767,0.29783,0.058853,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5974e-4,22,380.13,90,0,NaN,3.4118,1004,333.37,0.01,0.0010082
0.09,0.15063,4.1591,59.233,4.1591,59.233,0,0,0,0,0,0,46.28,3.37,9.8069,0,0,0,0,34705,6989.2,33.036,0.41412,NaN,260.83,NaN,0.012476,1142438,2396.2,0.19453,0.46785,0.46785,0.28898,0.058853,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1922e-4,22,380.13,90,0,NaN,3.4117,1004,333.37,0.01,0.0010868
