  ECMWF värden 2014050312 +000h
  latitud, longitud:  67.90  21.10
  Rutans höjd över havet:  442m
  
      z     p    t      td   ddd   ff
  73086     0  -85.7  -99.0  139  13.0
  70701     0  -72.7  -99.0  145  13.8
  68346     0  -62.8  -99.0  141  12.8
  66034     0  -51.8  -99.0  135  12.6
  63761     0  -41.2  -99.0  128  12.9
  61537     0  -32.5  -99.0  116  13.7
  59373     0  -24.8  -99.0  115  15.2
  57283     0  -20.3  -99.0  115  14.7
  55282     0  -17.7  -99.0  117  12.6
  53372     0  -15.3  -99.0  118  11.1
  51546     1  -12.8  -99.0  111  12.4
  49796     1   -9.8  -99.0  112  13.9
  48117     1   -7.5  -99.0  113  13.3
  46509     1   -5.8  -99.0  107  10.5
  44968     1   -4.8  -99.0   97   7.6
  43503     2   -6.8  -99.0  117   5.6
  42114     2   -8.7  -99.0  137   7.1
  40793     2   -9.6  -99.0  130   7.6
  39537     3  -12.4  -99.0  119   6.4
  38354     3  -17.7  -99.0  109   5.2
  37242     4  -23.0  -99.0   97   6.2
  36192     5  -26.3  -99.0   82   7.7
  35195     5  -28.1  -98.5   83   8.2
  34243     6  -29.8  -98.0   92  10.8
  33333     7  -32.0  -97.4   92  13.3
  32464     8  -33.5  -96.8   88  14.5
  31630     9  -34.5  -96.3   87  15.3
  30829    10  -35.4  -95.7   84  16.7
  30058    11  -36.6  -95.1   76  17.4
  29320    12  -38.8  -94.6   70  16.4
  28611    14  -40.5  -94.0   68  15.0
  27929    15  -41.5  -93.4   69  13.3
  27272    17  -42.8  -92.9   72  11.7
  26639    18  -43.6  -92.5   72  11.8
  26027    20  -44.4  -92.2   66  12.8
  25435    22  -45.1  -91.9   62  13.4
  24862    24  -45.9  -91.6   62  13.7
  24308    26  -46.7  -91.3   64  13.9
  23771    28  -47.3  -91.1   59  13.3
  23251    30  -47.8  -90.8   50  11.7
  22745    33  -48.2  -90.5   43   9.6
  22254    35  -48.3  -90.2   45   8.1
  21775    38  -48.4  -89.8   54   8.1
  21309    41  -48.3  -89.4   60   9.7
  20855    43  -48.1  -89.0   54  11.5
  20412    46  -48.3  -88.6   38  12.3
  19982    50  -48.8  -88.4   26  11.9
  19563    53  -48.8  -88.1   25  10.9
  19154    56  -48.6  -87.8   29  10.5
  18756    60  -48.2  -87.5   31  10.8
  18366    63  -47.9  -87.2   29  11.2
  17984    67  -47.8  -86.9   26  11.6
  17610    71  -47.6  -86.6   23  12.2
  17241    75  -47.3  -86.3   17  12.7
  16878    79  -47.2  -85.9   10  12.9
  16519    84  -47.4  -85.6    3  12.7
  16165    89  -47.8  -85.4    1  12.1
  15815    93  -48.3  -85.1    1  10.8
  15468    98  -48.4  -84.8    3   9.5
  15123   104  -47.9  -84.5    5   9.1
  14781   109  -47.3  -84.2    4   9.3
  14441   115  -46.7  -83.9    2   9.9
  14104   121  -46.3  -83.6  359  10.8
  13769   127  -46.4  -83.4  353  11.6
  13438   134  -46.7  -83.1  346  12.2
  13111   141  -46.9  -82.8  340  12.6
  12786   148  -46.9  -82.5  337  12.4
  12465   155  -46.9  -82.2  337  11.4
  12148   163  -47.0  -81.8  342  10.2
  11833   170  -47.1  -81.5  349   9.4
  11522   179  -47.1  -81.2  355   9.2
  11213   187  -46.9  -80.9  360   9.8
  10908   196  -46.6  -80.5  359  10.8
  10604   205  -46.5  -80.2  354  12.0
  10304   215  -46.7  -79.7  348  12.8
  10008   225  -47.3  -78.8  342  13.0
   9715   235  -48.0  -77.6  341  12.3
   9425   245  -48.6  -76.3  343  11.5
   9139   256  -49.1  -75.1  343  10.7
   8856   268  -49.6  -73.7  343   9.5
   8576   279  -50.0  -72.4  347   8.9
   8299   291  -50.3  -71.2  348   9.6
   8026   304  -50.7  -70.0  343  10.7
   7754   317  -51.0  -69.1  337  11.3
   7486   330  -51.0  -68.8  335  11.4
   7219   344  -50.7  -68.2  335  11.4
   6955   358  -50.2  -67.3  333  11.4
   6692   373  -49.5  -66.4  329  11.4
   6430   388  -48.5  -65.1  325  11.5
   6169   404  -47.4  -64.7  321  11.8
   5909   420  -46.2  -64.1  318  12.3
   5650   437  -45.1  -62.8  317  12.9
   5392   454  -44.8  -59.2  316  13.4
   5136   472  -44.7  -54.0  313  12.6
   4882   490  -43.6  -48.7  312  11.5
   4629   508  -42.1  -45.1  311  11.3
   4380   527  -40.3  -43.2  311  11.4
   4134   547  -38.4  -41.2  312  11.3
   3894   566  -36.7  -39.0  313  11.1
   3659   586  -34.9  -37.1  316  10.7
   3431   605  -33.0  -36.1  318  10.4
   3209   624  -31.1  -35.2  320   9.9
   2996   643  -29.2  -33.9  321   9.4
   2790   662  -27.4  -32.4  322   8.9
   2592   680  -25.6  -30.7  323   8.3
   2404   698  -23.9  -29.1  325   7.7
   2224   716  -22.2  -27.6  328   7.3
   2053   733  -20.7  -26.2  332   6.8
   1892   749  -19.2  -24.9  335   6.4
   1739   764  -17.9  -23.5  339   6.0
   1595   779  -16.7  -21.8  343   5.5
   1460   793  -15.6  -20.0  347   5.1
   1334   807  -14.6  -18.0  351   4.7
   1215   819  -13.6  -16.3  356   4.3
   1105   831  -12.6  -15.1    0   4.0
   1002   842  -11.6  -13.8    3   3.8
    907   853  -10.6  -12.2    4   3.4
    818   863   -9.7  -10.9    3   3.0
    736   872   -8.9  -10.1    2   2.9
    659   881   -8.0   -9.1  358   2.5
    589   889   -7.4   -8.6  356   2.4
    524   896   -6.7   -8.2  353   2.2
    464   903   -6.0   -7.9  351   2.2
    409   910   -5.5   -7.8  350   2.1
    358   916   -4.9   -7.6  349   2.1
    311   921   -4.4   -7.5  348   2.1
    268   926   -3.9   -7.4  348   2.1
    228   931   -3.5   -7.3  347   2.1
    192   935   -3.1   -7.2  347   2.1
    159   939   -2.7   -7.1  346   2.1
    128   943   -2.4   -7.0  346   2.0
    100   946   -2.0   -6.9  345   2.0
     74   949   -1.8   -6.8  345   2.0
     51   952   -1.5   -6.7  344   1.9
     29   954   -1.2   -6.6  344   1.8
      9   957   -0.9   -6.5  343   1.7
